Event,Jahr,Reifenauswahl
1,2019,2
2,2019,1
3,2019,2
4,2019,2
5,2019,1
6,2019,3
7,2019,2
8,2019,2
9,2019,2
10,2019,1
11,2019,2
12,2019,2
13,2019,1
14,2019,2
15,2019,3
16,2019,2
17,2019,1
18,2019,2
19,2019,2
20,2019,1
21,2019,3
1,2020,2
2,2020,2
3,2020,2
4,2020,1
5,2020,2
6,2020,1
7,2020,2
8,2020,2
9,2020,1
10,2020,3
11,2020,2
12,2020,1
13,2020,2
14,2020,1
15,2020,2
16,2020,2
17,2020,3
1,2021,2
2,2021,2
3,2021,1
4,2021,1
5,2021,3
6,2021,3
7,2021,2
8,2021,2
9,2021,3
10,2021,1
11,2021,2
12,2021,2
13,2021,1
14,2021,2
15,2021,3
16,2021,2
17,2021,2
18,2021,2
19,2021,2
20,2021,1
21,2021,2
22,2021,3
