		num_preds	mod_r2	mod_mean_abs_er	mod_median_abs_er	mod_s	AWS_r2	AWS_mean_abs_er	AWS_median_abs_er	AWS_s
LinReg	1	333	0.6335954921651	387.27264380504334	296.1569995147438	392.679233227819	0.703127900380989	355.31021021021024	276.0	346.6900035624569
LinReg	2	270	0.5376609602900608	453.367926975088	316.2120944037961	447.4138179211569	0.695333334802914	370.50111111111113	277.0	360.66566652498716
LinReg	3	270	0.6198941083793756	409.2178838518654	310.7253704857285	407.55982352394636	0.695333334802914	370.50111111111113	277.0	360.66566652498716
LinReg	4	246	0.6894344594822723	373.4418204857588	298.0186872505692	326.2782776932569	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
LinReg	5	270	0.6719785789178794	393.0671166570248	298.08441828480136	365.1278465398264	0.695333334802914	370.50111111111113	277.0	360.66566652498716
LinReg	6	270	0.6550696590439895	402.19191418643027	320.1887677188279	375.3678344015879	0.695333334802914	370.50111111111113	277.0	360.66566652498716
LinReg	7	246	0.7187780861360057	362.40869931841485	283.82780126773287	302.1925227474621	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
LinReg	8	246	0.7061537711936139	371.770215638275	293.98325681936694	307.3088643401236	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
LinReg	9	246	-2.768649852744639e+25	4061422119049921.0	5348404226449731.0	2326236256484286.0	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
LinReg	10	246	0.7029397384863099	373.1092479674797	303.296875	309.81949592527064	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
LinReg	11	270	0.6568456915433621	395.37361111111113	294.3125	380.52305222123226	0.695333334802914	370.50111111111113	277.0	360.66566652498716
LinReg	12	246	0.7138585692851317	363.2489837398374	274.75	307.5914983316375	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	1	333	0.6334223457657286	387.0331004046861	299.71688229907886	393.09918937433497	0.703127900380989	355.31021021021024	276.0	346.6900035624569
QuadReg	2	270	0.6374580618410302	395.20900598097154	284.51599950750824	402.4598095496269	0.695333334802914	370.50111111111113	277.0	360.66566652498716
QuadReg	3	270	0.6275914083260106	398.2943707687414	314.0076650160481	410.11126782852955	0.695333334802914	370.50111111111113	277.0	360.66566652498716
QuadReg	4	246	0.6665546720106819	387.380020581669	309.85724775952986	337.59246023967825	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	5	270	-1.7791978957246695	1346.0742666102783	1325.8018086573575	790.4444186635283	0.695333334802914	370.50111111111113	277.0	360.66566652498716
QuadReg	6	270	0.701207264793487	374.64993277754286	310.82232868536084	349.0163431290701	0.695333334802914	370.50111111111113	277.0	360.66566652498716
QuadReg	7	246	-3.1802129140143673	1596.1583411204872	1574.427986540366	871.5362708085128	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	8	246	0.72866597500714	355.924663185027	293.82863967260346	296.89955065850876	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	9	246	-163468173087.10364	330416899.23982364	373775003.56317943	141839008.85225388	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	10	246	-12.698410005318745	1903.680633048489	750.0653738286346	2689.45720554108	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
QuadReg	11	270	-1.8521673800760778	911.3226606391552	414.7825794835808	1293.8361575875135	0.695333334802914	370.50111111111113	277.0	360.66566652498716
QuadReg	12	246	-0.8597210342489563	844.3557918134478	569.6628654417582	871.8669653691475	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	1	333	0.6300795204132035	389.9574590721386	307.2802891658066	393.7348800047513	0.703127900380989	355.31021021021024	276.0	346.6900035624569
CubReg	2	270	0.6407048655447207	396.408001307079	291.7146027747076	397.7017155133632	0.695333334802914	370.50111111111113	277.0	360.66566652498716
CubReg	3	270	0.6367554896172525	394.18992832946003	286.69364277273417	404.2264772836792	0.695333334802914	370.50111111111113	277.0	360.66566652498716
CubReg	4	246	0.5742507897611642	423.975523212546	321.23610903695226	396.75437125227353	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	5	270	-5686505.0234032525	795283.2732310817	391.6423346288502	2089190.0737664313	0.695333334802914	370.50111111111113	277.0	360.66566652498716
CubReg	6	270	0.352974031339224	522.7311354777465	335.8139473795891	542.7685555259376	0.695333334802914	370.50111111111113	277.0	360.66566652498716
CubReg	7	246	-51385140951.53442	180420157.42705813	193934852.17218181	89990993.96931656	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	8	246	-2.313270808083641	1058.3078931161785	650.800863802433	1226.8030062225141	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	9	246	-880.9441349631388	19389.045546800804	15750.45844965292	17958.289843431507	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	10	246	-844710.8026055342	359517.1262915648	22840.18956070792	735281.9203169226	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
CubReg	11	270	-214013653.23557955	5487518.668844808	683.7947518229485	12567207.78166863	0.695333334802914	370.50111111111113	277.0	360.66566652498716
CubReg	12	246	-942.3255369988075	13536.706093897432	2299.1003689467907	23763.327310997098	0.7026973543646963	364.9036585365854	274.0	319.7828026078065
MLPR	1	333	0.6335955336888033	387.2726209972749	296.15717068035156	392.67921183126845	0.703127900380989	355.31021021021024	276.0	346.6900035624569
